states,x,y
Jammu And Kashmir,-92,203
Himanchal Pradesh,-86,161
Punjab,-116,140
Uttaranchal,-56,133
Haryana,-100,109
Delhi,-86,97
Uttar Pradesh,-49,83
Rajasthan,-132,69
Madhya Pradesh,-62,-8
Gujarat,-182,-9
Maharastra,-103,-70
Goa,-136,-138
Karnataka,-100,-165
Kerala,-99,-218
Tamil Nadu,-66,-218
Andra Pradesh,-67,-114
Chhattisgarh,-15,-32
Orissa,34,-49
Bihar,56,39
Jharkhand,47,4
West Bengal,93,-5
Sikkim,99,77
Assam,168,59
Meghalaya,152,41
Tripura,153,8
Mizoram,170,5
Arunachal Pradesh,208,93
Nagaland,200,52
Manipur,188,25
